"GeneID"	"control_1"	"control_2"	"control_3"	"treatment_1"	"treatment_2"	"treatment_3"	"treatment_4"	"treatment_5"	"treatment_6"	"treatment_7"	"treatment_8"	"treatment_9"	"treatment_10"	"treatment_11"	"treatment_12"
"AT2G37870"	52.843	20.485	12.651	27.762	59.33	44.488	65.841	50.813	61.808	734.804	714.068	149.119	5142.132	3638.86	3596.287
"AT2G37940"	973.133	558.779	542.285	373.154	332.608	274.64	316.271	357.472	255.614	263.645	281.351	311.238	258.643	229.294	229.611
"AT2G37970"	768.624	459.769	382.889	469.504	438.683	373.107	253.957	247.824	248.281	619.991	571.255	528.417	2956.057	3352.581	3535.057
"AT2G37990"	294.411	209.4	233.613	218.83	133.043	191.002	280.999	247.824	249.329	247.486	236.883	294.415	231.886	259.143	176.992
"AT2G38120"	379.508	548.536	724.452	571.57	744.323	712.996	476.17	408.285	487.134	258.542	340.358	348.709	114.952	46.13	78.451
"AT2G38140"	3618.71	4111.747	3753.826	3016.258	2928.747	2763.006	3071.005	2619.087	2725.855	2063.234	1756.522	1954.608	759.081	630.898	563.504
"AT2G38170"	1449.406	1255.261	1108.184	1757.987	1610.901	1653.77	842.998	831.725	973.22	523.888	524.22	516.946	446.926	251.003	322.413
"AT2G38270"	697.938	861.498	729.512	716.096	650.833	606.224	668.99	602.622	629.607	623.393	531.062	574.3	934.483	1146.471	937.579
"AT2G38310"	2114.403	1645.609	1204.328	392.75	427.896	317.348	139.912	138.175	189.616	68.037	102.621	130.766	47.566	43.417	54.533
"AT2G38450"	139.999	129.737	152.649	175.554	210.352	181.511	176.359	199.685	175.997	205.813	157.352	178.943	267.561	345.977	338.677
"AT2G38465"	36.372	37.555	19.397	10.615	26.968	12.457	91.707	101.626	106.855	54.43	58.152	46.648	224.95	272.711	220.044
"AT2G38470"	993.721	547.398	775.898	752.84	400.927	539.195	299.811	262.087	310.09	130.122	117.159	192.708	201.166	320.198	187.516
"AT2G38530"	179.117	237.851	115.541	109.415	93.49	95.501	105.816	178.29	120.474	209.215	319.834	143.001	1658.88	2292.943	2292.286
"AT2G38540"	9660.646	11090.223	10284.859	11037.023	11919.948	9821.781	13536.17	11539.85	10689.708	17707.58	21985.606	15303.447	19775.752	14644.986	19623.154
"AT2G38670"	299.214	339.137	302.769	323.345	303.842	280.571	457.359	427.006	432.659	502.626	467.779	506.24	1062.317	1131.547	1126.052
"AT2G38710"	202.45	179.811	207.468	270.271	240.916	241.422	232.794	267.436	187.52	295.112	268.524	303.591	601.517	526.427	727.102
"AT2G38740"	382.94	337.999	331.443	400.099	406.321	508.35	337.434	353.907	325.804	465.206	471.2	477.946	799.711	919.891	941.406
"AT2G38790"	195.587	170.706	137.469	245.775	257.097	239.049	273.945	240.692	274.471	228.776	163.338	232.473	634.219	875.117	990.199
"AT2G38800"	570.292	567.883	543.972	650.774	776.684	787.142	755.994	852.228	785.7	944.019	850.041	744.066	1285.285	1390.69	1942.129
"AT2G38870"	472.841	191.191	250.48	236.793	215.746	155.412	176.359	109.649	141.426	148.832	115.448	113.942	278.462	237.435	211.434
"AT2G39010"	1715.679	2226.011	2571.426	2379.366	2357.021	2510.314	2800.587	2551.336	2934.327	2621.14	2665.57	2251.317	3678.472	3435.344	2895.972
"AT2G39030"	470.782	262.888	21.084	119.213	55.734	13.05	83.477	74.882	76.475	169.243	103.476	471.828	168.465	187.234	142.55
"AT2G39050"	191.47	202.572	131.565	179.636	231.927	236.083	238.673	237.126	207.425	463.505	490.013	399.945	2851.014	3420.42	3183.943
"AT2G39210"	225.783	109.252	156.023	83.286	53.936	39.743	37.623	45.464	48.19	38.271	42.759	54.295	76.305	143.818	82.277
"AT2G39270"	212.744	182.087	181.324	275.987	195.969	194.561	181.062	213.949	165.521	161.589	224.055	262.297	632.237	579.341	686.92
"AT2G39330"	382.94	359.621	193.131	617.296	489.023	370.734	527.902	271.001	305.899	444.794	406.206	741.007	160.537	67.839	45.922
"AT2G39390"	879.8	738.589	740.476	528.294	454.864	557.584	565.526	558.941	603.417	495.822	583.227	572.006	420.17	360.901	471.66
"AT2G39400"	609.409	709	725.296	285.785	285.863	276.419	179.887	230.886	256.662	153.084	146.234	213.355	572.779	698.737	889.744
"AT2G39460"	4026.356	4273.349	3723.465	3068.516	2964.705	2666.319	3092.168	2824.121	2842.138	2432.337	2562.094	2944.147	1193.125	1044.714	976.805
