Geneid	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3
LOC_Os01g01340	126216.33	157502.43	100674.93	43845.67	44948.93	41972.5
LOC_Os01g01350	247	256	216	108	97	101
LOC_Os01g01360	141	202	170	688	722	725
LOC_Os01g01369	593	654	621	428	523	431
LOC_Os01g01380	137	120	142	93	88	91
LOC_Os01g01390	349	353	384	434	567	451
LOC_Os01g01400	4	2	2	1	5	6
LOC_Os01g01410	335	349	313	329	394	286
LOC_Os01g01420	1817.5	1699.5	1742	1784.5	1893.5	1588.5
LOC_Os01g01430	12	21	6	1	2	2
LOC_Os01g01440	0	1	0	0	0	0
LOC_Os01g01450	4952	5819	5225	8316	9032	9257
LOC_Os01g01460	0	0	0	0	0	0
LOC_Os01g01470	0	0	0	1	1	0
LOC_Os01g01484	647.5	596	589	732	808	675
LOC_Os01g01500	0	0	0	0	0	0
LOC_Os01g01510	559	625	611	852.5	857	853
LOC_Os01g01520	35.83	39.5	34.83	38.33	46.5	40
LOC_Os01g01530	0	0.1	0	0	0	0
LOC_Os01g01540	0	0.17	0	0	0	0
LOC_Os01g01550	0.43	0.5	0.33	0.33	0.5	0
LOC_Os01g01560	2.58	1.25	2.2	0.17	0	0.2
LOC_Os01g01570	284	331	294	352	382	346
LOC_Os01g01580	5	6	2	11	4	7
LOC_Os01g01590	0	0	1	2	2	2
LOC_Os01g01600	12	10	9	25	53	24
LOC_Os01g01610	95	81	86	270	308	254
LOC_Os01g01620	1118	1240	1125	4481	4446	4506
LOC_Os01g01640	862	1037	811	996	1048	988
LOC_Os01g01650	95	67	90	26	11	9
LOC_Os01g01660	895	661	377	1016	2892	434
LOC_Os01g01670	152	201	154	309	341	308
LOC_Os01g01680	14	19	21	23	29	15
LOC_Os01g01689	1616	1536	1311	1330	1264	1122
LOC_Os01g01700	1212	1264.5	1111	1255	1513	1268
LOC_Os01g01710	4770	4716.33	4175	4777	5412	4490
LOC_Os01g01720	1300	1319	1195	1365	1684	1404
LOC_Os01g01730	0	0	0	0	0	0
LOC_Os01g01740	155	151	156	42	57	45
LOC_Os01g01760	45.5	56	45.33	48.17	55.5	50.5
LOC_Os01g01770	28	42	25	20	20	14
LOC_Os01g01780	34	36	40	43	57	43
LOC_Os01g01790	1994	2471	2250	2508.5	2617	2642
LOC_Os01g01800	603.5	556.83	561.67	560.5	595.33	549.33
LOC_Os01g01810	0	0	0	0	1	0
LOC_Os01g01830	1016	959	940	834	967	775
LOC_Os01g01840	4	17	14	19	19	8
LOC_Os01g01850	0	0	0.21	0.2	0.21	0
LOC_Os01g01860	0	0	0	0	0	0.14
LOC_Os01g01870	674	760	856	457	574	470
LOC_Os01g01880	1	0	0	0	0	1
LOC_Os01g01890	117	153	98	15	12	16
LOC_Os01g01900	0	0	0	0	0	0
LOC_Os01g01910	308	329	224	266	257	282
LOC_Os01g01920	778	818	679	878	1152	801
LOC_Os01g01925	0	0	0	0	0	0
LOC_Os01g01930	0	1	1	0	1	0
LOC_Os01g01940	1	2	2	1	1	0
LOC_Os01g01950	9	3	6	3	2	2
LOC_Os01g01960	3259	3189	3085	2791	2960	2540
LOC_Os01g01970	157	141	138	93	114	106
LOC_Os01g01980	0	0	0	0	1	0
LOC_Os01g01990	0	0	0	0	0	0
LOC_Os01g02000	81	97	86	113	146	174
LOC_Os01g02010	62	81	58	133	103	131
LOC_Os01g02020	512	512	457	708	767	729
LOC_Os01g02040	310	311	340	158	202	193
LOC_Os01g02050	68	61	55	51	47	55
LOC_Os01g02060	33	34	69	44	40	39
LOC_Os01g02070	2	1	0	0	3	4
LOC_Os01g02080	1041	1096	1004	1096	1226	1336
LOC_Os01g02090	1058	1165	1036	1140	1342	1066
LOC_Os01g02100	199	217	196	196	227	158
LOC_Os01g02110	0	0	0	0	0	0
LOC_Os01g02120	0	0	0	0	0	0
LOC_Os01g02130	218	222	212	29	33	22
LOC_Os01g02139	177	152	147	91	92	72
LOC_Os01g02150	600	479	481	202	199	125
LOC_Os01g02160	0	0	0	0	0	0
LOC_Os01g02170	105	129	89	251	239	283
LOC_Os01g02180	255	285.5	285	367.5	436	357.5
LOC_Os01g02190	3	1	0	2	0	2
LOC_Os01g02200	598	581	548	1223	1366	979
LOC_Os01g02210	0	0.33	0	0.25	0	0
LOC_Os01g02220	0.12	0	0.14	0	1.07	0
LOC_Os01g02230	0	0.11	0.22	0.14	0	0
LOC_Os01g02240	0	0.33	0	0	0	0
LOC_Os01g02250	1.33	0	0	1.33	1	0.67
LOC_Os01g02260	0	0	0	0	0	0
LOC_Os01g02270	652.74	615.66	568.08	456.08	547.58	412.08
LOC_Os01g02280	289.08	276.75	254.5	195.75	199.08	168.91
LOC_Os01g02290	4	0	6	2	0	3
LOC_Os01g02300	10	7	15	4	3	8
LOC_Os01g02310	27	32	24	59	68	30
LOC_Os01g02320	136	115	121	126	137	138
LOC_Os01g02334	32	27	24	14	12	9
LOC_Os01g02350	95	88	100	131	132	92
LOC_Os01g02360	31	35	30	29	27	36
LOC_Os01g02370	59	107	92	5	0	1
LOC_Os01g02380	0	0	2.75	0	0	0
LOC_Os01g02390	456	487.5	485	210	277	263
LOC_Os01g02400	520.67	531.8	477.33	135.83	122.83	113.17
LOC_Os01g02410	0	1	0	0	0.5	0
LOC_Os01g02420	85	43	65	38	62	38
LOC_Os01g02430	26.17	42.67	35.17	12.17	8.17	13.17
LOC_Os01g02440	3	2	8	4	0	2
LOC_Os01g02450	5	9	9	5	2	0
LOC_Os01g02460	7	9	8	10	8	10
LOC_Os01g02470	100	101	73	34	47	40
LOC_Os01g02480	0	0	0	0	0	0
LOC_Os01g02490	64	69	74	22.5	11	17
LOC_Os01g02500	168	136	110	98	90	90
LOC_Os01g02510	0.17	0	0	0	0	0
LOC_Os01g02520	0.25	0.12	0	0	0	0
LOC_Os01g02530	0	0.25	0	0	0	0
LOC_Os01g02540	0	0	0	0	0	0
LOC_Os01g02550	184	201	131	81	88	72
LOC_Os01g02560	147	196	131	61	63	29
LOC_Os01g02570	621	596	526	635	923	507
LOC_Os01g02580	670	705	602	153	225	199
LOC_Os01g02590	400	432	421	229	295	207
LOC_Os01g02600	931.67	874.5	913.83	401.33	578.83	345.17
LOC_Os01g02610	505	470	455	410	513.5	398
LOC_Os01g02629	0	0	0.1	0	0	0
LOC_Os01g02650	0.2	0.96	0.46	0.1	0.27	0
LOC_Os01g02660	0	1	0	0	0	0
LOC_Os01g02670	0	0	0	0	0	0
LOC_Os01g02680	0	2	0	0	0	0
LOC_Os01g02690	0	4	3	3	0	3
LOC_Os01g02700	470.67	615.67	547.17	358.67	401.17	267.67
LOC_Os01g02710	377	460	297	188	238	132
LOC_Os01g02720	862.5	948.5	775.5	909.5	1018.5	946
LOC_Os01g02730	121	117	87	125	183	106
LOC_Os01g02740	1	1	1	0	0	0
LOC_Os01g02750	28	37.5	47	22	27	12.5
LOC_Os01g02760	259.5	245	240.33	86.5	86.5	80
LOC_Os01g02770	76	151.5	116	19	17	15
LOC_Os01g02780	7	23	8	1	0	3
LOC_Os01g02790	6	18	7	1	0	5
LOC_Os01g02800	19	53.33	51.83	5.17	4.5	11.5
LOC_Os01g02810	16.5	29	27	7	3	9
LOC_Os01g02830	34.83	81.33	88	6.17	0.5	15
LOC_Os01g02840	30	32.5	50.5	11	17	8
LOC_Os01g02850	1	12	7	1	1	1
LOC_Os01g02860	56	49	57	62	76	61
LOC_Os01g02870	228	210	344	462	552	352
LOC_Os01g02880	433	462	525	1234	1526	1291
LOC_Os01g02884	1222	1259	1214	1235	1433	1157
LOC_Os01g02890	17	8	14	24	8	6
LOC_Os01g02900	1405	1137	1168	130	112	133
LOC_Os01g02910	43	26	25	30	33	30
LOC_Os01g02920	573	603	420	434	465	505
LOC_Os01g02930	78	84	55	6	9	3
LOC_Os01g02940	508	352	556	287	382	359
LOC_Os01g02950	0	0	0	0	0	0
LOC_Os01g02960	980.5	1135	896.5	954	1088	1041.5
LOC_Os01g02970	0	0	0	0	0	0
LOC_Os01g02980	0	0	0	4	3	4
LOC_Os01g02990	0	0	0	0	0	0
LOC_Os01g03010	0	0	0	0	0	0
LOC_Os01g03020	1885	1799	1839	1965	2148	1831
LOC_Os01g03030	370	306	312	382	441	384
LOC_Os01g03040	1677	2134	1579	2347.5	2774	2582
LOC_Os01g03050	154	173	128	270	272	270
LOC_Os01g03060	735	728	668	681	809	674
LOC_Os01g03070	1823	2116	1915	2600	2881	2626.5
LOC_Os01g03080	1	0	0	7	1	2
LOC_Os01g03090	632	710	521	630	593.5	577.5
LOC_Os01g03100	34	32	29	18	37	28
LOC_Os01g03110	972	1032	802	683	728	634
LOC_Os01g03130	16	22	9	21	22	18
LOC_Os01g03144	1457	1401	1283	1660	1843	1509
LOC_Os01g03160	242	220	179	236	265	243
LOC_Os01g03170	3	3	4	0	0	2
LOC_Os01g03180	173	160	133	171	236	143
LOC_Os01g03190	0	0	0	0	1	3
LOC_Os01g03200	1.91	4.36	2.51	3.37	2.6	2.42
LOC_Os01g03210	0	0	0	0	1	0
LOC_Os01g03220	0	0	0	0	0	0
LOC_Os01g03230	0	0	0	0	0	0
LOC_Os01g03240	0	0	0	0	0	0
LOC_Os01g03250	0	0	0	0	0	0
LOC_Os01g03260	0	1.5	0	1	0	0.5
LOC_Os01g03270	0	0	0	0	0	0
LOC_Os01g03280	0	0	0	0	0	0
LOC_Os01g03290	4	4	2	1	6	2
LOC_Os01g03300	2	3	4	6	11	8
LOC_Os01g03310	789	1208	1304	2617	4768	3067
LOC_Os01g03320	16	18	68	384	884	511
LOC_Os01g03330	3	5	0	7	9	11
LOC_Os01g03340	4	10.5	4.5	270.33	769.17	302.33
LOC_Os01g03350	0	0	0	0	0	0
LOC_Os01g03360	0	0	0	54.33	88.17	45.33
LOC_Os01g03370	0	0	0	0	0	0
LOC_Os01g03380	0	0	0	0	0	0
LOC_Os01g03390	10	24	11	717	664	672
LOC_Os01g03400	0	0	0	0	0	0
LOC_Os01g03410	4	9	2	2	0	4
LOC_Os01g03420	0	0	0	0	0	0
LOC_Os01g03429	0	0	0	0	0	0
LOC_Os01g03440	0	0	0	0	0	0
LOC_Os01g03452	0	0	0	0	0	0
LOC_Os01g03464	0	0	0	0	0	0
LOC_Os01g03480	31	29	31	15	25	19
LOC_Os01g03490	48	29	49	27	30	16
LOC_Os01g03500	76	68	89	112	113	94
LOC_Os01g03510	473	477	439	605	671	510
LOC_Os01g03520	954	864	785	706	846	663
LOC_Os01g03530	12	11	5	3	9	4
LOC_Os01g03549	2484	3110	2385	1684	1852	1866
LOC_Os01g03570	161	190	141	109	125	86
LOC_Os01g03580	1	0	0.33	0	0	0.33
LOC_Os01g03590	0	0	0	0	0	0
LOC_Os01g03600	0	0	0	0.25	0	0
LOC_Os01g03610	0.14	0.14	1.17	0	0	1
LOC_Os01g03620	0	0	0	0	0	0
LOC_Os01g03630	1	0	0	0	0	0
LOC_Os01g03640	0	0	1	0	0	0
LOC_Os01g03650	861	1067	847	1423	1514	1540
LOC_Os01g03660	252	251	298	362	430	377
LOC_Os01g03670	0	0	2	2	3	7
LOC_Os01g03680	0	0	0	2	1	2
LOC_Os01g03690	195	218	189	251	273	292
LOC_Os01g03710	24	24	26	45	44	38
LOC_Os01g03720	2	3	3	10	14	4
LOC_Os01g03730	424	278	343	144	255	192
LOC_Os01g03740	19	13	7	25	44	38
LOC_Os01g03750	261	344	222	594	523	471
LOC_Os01g03760	1357	1587	1357	1750	1960	1618
LOC_Os01g03770	0	0	0	0	0	0
LOC_Os01g03780	0	1.11	0.41	0.1	0	0.14
LOC_Os01g03790	0	0	0	0	0	0
LOC_Os01g03800	0	0	0	0	0	0
LOC_Os01g03810	25	20	20	11	10	11
LOC_Os01g03820	3797	3267	3178.17	2078	2245.5	1775
LOC_Os01g03830	13.52	12.06	7.71	1.53	0	3.03
LOC_Os01g03840	0	0	0	0	0	0
LOC_Os01g03860	1	0	0	0.33	0.5	0
LOC_Os01g03870	61	63	54	17	21	20
LOC_Os01g03880	0	0	0	0.1	0	0
LOC_Os01g03890	0	0	0	0	0	0
LOC_Os01g03900	0	0	0	2	0	0
LOC_Os01g03914	328	308	291	310	358	380
LOC_Os01g03930	0	0	0	0	0	0
LOC_Os01g03940	426	337	303	95	74	90
LOC_Os01g03950	645	701	454	924	695	1057
LOC_Os01g03960	0	0	0	0	0	0
LOC_Os01g03970	0	0	0	0	0	0
LOC_Os01g03980	196	164	122	167	203	126
LOC_Os01g03989	0	0	0	0	0	0
LOC_Os01g04000	0	0	0	0	0	0
LOC_Os01g04005	0	0	0	0	0	0
LOC_Os01g04010	3242	3699	2441	5937	6568	5761
LOC_Os01g04020	4295	5106	4124	7439	7646	8009
LOC_Os01g04030	240	230	266	272	383	270
LOC_Os01g04040	1	7	2	6	8	10
LOC_Os01g04050	17	14	50	56	64	87
LOC_Os01g04070	27	30	20	0	3	5
LOC_Os01g04080	0	0	0	0	1	1
LOC_Os01g04090	0	0	0	1	0	0
LOC_Os01g04100	83	82	48	80	84	75
LOC_Os01g04110	78	76	64	99	96	96
LOC_Os01g04120	301.33	369	266	277	318.5	322.5
LOC_Os01g04130	662	851.5	682	681	607	697
LOC_Os01g04140	31	28.5	20.33	39.33	48.33	47.5
LOC_Os01g04150	0	0	0	0	0	0
LOC_Os01g04160	2	2	9	43	28	23
LOC_Os01g04170	1	0	1	2	1	3
LOC_Os01g04180	0	0	0	0	0	0
LOC_Os01g04190	971	1003	839	949.5	999	789
LOC_Os01g04200	489	406	388	1042	1178	934
LOC_Os01g04210	3	3	6	8	15	7
LOC_Os01g04220	0	0	0	0	1	0
LOC_Os01g04230	14	10	9	9	11	12
LOC_Os01g04250	7	2	12	4	1	8
LOC_Os01g04260	1138	994	972	1078	1241	1012
LOC_Os01g04270	0	0	0	0	0	0
LOC_Os01g04280	326	428	300	223	178	113
LOC_Os01g04290	0	0	0	0	1	0
LOC_Os01g04300	7	8	3	39	40	41
LOC_Os01g04310	0	0	1	0	0	0
LOC_Os01g04320	0	0	0	0	1	0
LOC_Os01g04324	57	87	92	61	66	78
LOC_Os01g04330	335	337	135	969	790	717
LOC_Os01g04340	4	2	5	12	10	13
LOC_Os01g04350	2209	2593	2139	3617	4752	3576
LOC_Os01g04360	12	14	12	74.5	83.5	84.5
LOC_Os01g04370	1	3.5	2	111	121.5	110.5
LOC_Os01g04380	1	7.5	3	8.5	5	16
LOC_Os01g04390	93	100	72	46	73	43
LOC_Os01g04409	1130	1158.5	1181	906.5	1164	1010
LOC_Os01g04430	2	10	7	5	1	8
LOC_Os01g04440	5	11	8	2	1	2
LOC_Os01g04450	375	399	324	299	350	344
LOC_Os01g04460	61	83	62	33	58	60
LOC_Os01g04470	45	48	35	21	13	18
LOC_Os01g04480	18	23	22	12	11	16.5
LOC_Os01g04490	76	55	60	64	63	38
LOC_Os01g04500	86	76	77	111	114	99
LOC_Os01g04510	0	0	0	0	1	0
LOC_Os01g04520	148	120	133	128	157	120
LOC_Os01g04530	1	1	0	0	0	0
LOC_Os01g04540	2	0	1	0	3	1
LOC_Os01g04550	2	5	1	2	2	1
LOC_Os01g04560	97	105	41	272	297	291
LOC_Os01g04570	26	32	30	29	32	38
LOC_Os01g04580	126	127	92	53	69	49
LOC_Os01g04590	292	305	221	556	517	408
LOC_Os01g04600	29	43	35	89	86	69
