GeneID	control_1	control_2	treatment_1	treatment_2
LOC_Os12g43130	124.0272502	136.3598466	57.47508486	61.7507602
LOC_Os12g43120	0.185652235	0	0	0
LOC_Os12g43120	3.890755478	4.815899658	1.237659311	2.20209269
LOC_Os12g43110	2.653463487	3.937347774	0.266900728	0.242716646
LOC_Os12g43100	9.7411807	7.571390583	5.38903409	4.784045497
LOC_Os12g43090	0.275101429	0.149676954	0	0
LOC_Os12g43080	0	0	0	0
LOC_Os12g43070	0	0	0	0
LOC_Os12g43060	0	0	0	0
LOC_Os12g43050	0	0	0	0
LOC_Os12g43034	0	0	0	0
LOC_Os12g43020	0	0	0	0
LOC_Os12g43000	1.44336666	0.78530572	0.570358562	2.385918479
LOC_Os12g43000	0.672343756	1.330211729	3.178526784	4.305026821
LOC_Os12g42990	0	0	0	0
LOC_Os12g42980	4.486575342	2.673533298	1.181938833	2.902074585
LOC_Os12g42980	96.81433591	97.10459524	148.2209437	119.5432108
LOC_Os12g42970	6.253267098	8.748700218	5.806923933	5.505466992
LOC_Os12g42960	0.770179747	1.005692998	0.170432108	0.309978246
LOC_Os12g42950	0	0	0	0
LOC_Os12g42940	0	0	0	0
LOC_Os12g42930	0.210058068	0	0.232417429	0.140905271
LOC_Os12g42920	0	0.135986287	1.382713992	0.628712603
LOC_Os12g42910	1.350901299	2.334697126	16.79335203	14.47212829
LOC_Os12g42900	0.217796309	0.710990596	1.686855502	0.98614814
LOC_Os12g42884	0.798102813	3.411815848	0	0
LOC_Os12g42884	116.4288212	130.0831893	27.64117889	44.99043288
LOC_Os12g42884	4.70656307	6.418064432	5.405302091	0
LOC_Os12g42876	182.2279756	236.044655	42.21694428	85.9546033
LOC_Os12g42870	0	0	0	0
LOC_Os12g42870	0.293209999	1.595294499	0	0
LOC_Os12g42870	5.854859499	6.174982868	4.983132696	3.444021456
LOC_Os12g42860	0	3.01801567	1.164001173	1.828370214
LOC_Os12g42860	16.22806683	27.70209492	72.15843486	72.96792184
LOC_Os12g42850	2.32679706	2.468625488	5.792557471	7.257705323
LOC_Os12g42850	0	0	1.156029856	0
LOC_Os12g42850	84.99168577	91.76443221	345.7396279	270.775516
LOC_Os12g42840	0.173331497	0.377224222	0.671235412	0.174404072
LOC_Os12g42830	0.509670673	0.09243373	0.375947942	0.42735376
LOC_Os12g42820	0	0.282166124	0	0.130455358
LOC_Os12g42810	1.318001867	0.921982304	0.833311362	1.041981014
