ID	control_1	control_2	control_3	control_4	control_5	control_6	control_7	control_8	control_9	control_10	treatment_1	treatment_2	treatment_3	treatment_4	treatment_5	treatment_6	treatment_7	treatment_8	treatment_9	treatment_10
AT3G63210	202.6424	204.4185	268.731	213.4677	218.3801	225.522	207.3281	215.6681	209.7769	202.9222	441.5127	440.5192	514.5714	578.0624	549.3983	802.9022	1034.9129	619.404	786.2633	880.9432
AT3G63220	35.8521	35.8629	35.1282	41.5601	24.3578	43.8515	28.2463	31.6577	49.0607	45.2007	24.5935	14.3129	55.319	34.6208	44.4366	62.5951	73.2905	57.936	52.1357	59.921
AT3G63230	0	0	2.6346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G63233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G63240	10.9115	13.6279	23.7116	11.3346	25.1977	13.2251	25.4217	9.893	24.5304	26.9281	10.5401	7.9516	22.9626	2.0982	12.1191	4.815	0	11.076	4.2272	5.2562
AT3G63250	123.9236	95.3953	96.6026	102.0111	98.271	138.5151	118.6346	123.9927	160.7162	104.8271	70.2673	155.8516	115.8569	135.3358	150.8152	40.9275	49.2816	42.6	43.6813	37.8448
AT3G63260	107.5564	143.4516	161.5899	149.2385	111.7098	155.2204	155.9197	137.1834	135.3399	143.2957	178.0104	184.4774	196.226	163.6619	232.9556	297.3266	334.8619	375.732	332.5415	301.7073
AT3G63270	38.9697	30.1248	40.3975	47.2274	41.1562	41.0673	36.7202	57.3796	52.4442	31.7366	22.2513	42.9387	40.7065	33.5717	40.3969	27.6863	29.0635	28.116	21.1361	33.6398
AT3G63280	7.7939	5.0208	7.0256	1.8891	2.5198	9.0487	17.5127	6.5954	12.6881	13.464	2.3422	27.0355	34.4439	33.5717	9.426	45.7426	27.7999	54.528	40.8631	37.8448
AT3G63290	18.7055	12.9106	14.9295	5.6673	18.4783	22.2738	24.8568	23.7433	21.1469	10.5789	15.2246	30.2161	25.0501	11.5403	32.3175	16.8525	3.7909	4.26	5.6363	0
AT3G63300	36.6315	32.2766	55.327	60.451	39.4764	27.1462	22.0321	21.1051	37.2185	29.8132	23.4224	23.8548	15.6563	11.5403	22.8916	3.6113	6.3181	8.52	18.318	3.1537
AT3G63310	176.9224	243.1504	205.5002	249.3605	222.5797	249.884	199.984	177.415	164.0997	154.8363	309.176	322.8354	309.9954	296.8995	362.2258	416.498	516.8246	393.624	386.0863	418.3955
AT3G63320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8181	0
