ID	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3	treatment_4	treatment_5	treatment_6	treatment_7	treatment_8	treatment_9	treatment_10	treatment_11	treatment_12
AT1G78440	6.176	19.347	16.867	32.661	21.575	39.743	45.853	42.79	32.476	114.813	132.552	110.883	9.91	4.07	1.913
AT1G78450	40.49	38.693	50.602	53.891	32.362	65.842	56.435	60.619	53.428	79.944	77.821	45.118	15.855	10.854	6.697
AT1G78460	697.252	787.525	856.017	429.494	480.034	401.579	375.058	360.147	398.088	170.944	150.51	247.002	79.277	58.341	178.905
AT1G78470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78476	13.039	21.623	16.024	8.982	10.787	19.575	8.23	8.915	25.142	16.159	28.221	19.883	20.81	14.924	32.528
AT1G78480	12.353	3.414	16.867	4.899	5.394	11.863	19.987	18.72	10.476	25.514	5.986	12.235	12.883	6.784	10.524
AT1G78490	310.195	381.244	325.54	423.779	332.608	366.582	353.894	451.966	424.278	466.907	529.351	492.476	166.483	147.888	150.204
AT1G78500	0	0	0	0	0	0	0	0	1.048	0	0	0	0	0	0
AT1G78510	96.078	108.114	165.3	193.517	208.554	206.425	190.468	139.958	161.33	290.86	281.351	236.296	516.294	537.281	549.154
AT1G78520	0	0	0	0	0	0	0	0	0	0.85	2.566	0	3.964	0	0
AT1G78530	8.922	10.242	22.771	13.881	10.787	16.609	45.853	8.915	18.857	12.757	5.986	13.765	2.973	4.07	1.913
AT1G78540	17.157	30.727	26.144	26.129	28.766	16.016	28.217	23.178	19.904	30.617	45.324	28.294	10.901	5.427	25.831
AT1G78550	75.49	69.421	114.698	74.304	53.936	92.535	98.761	68.642	75.427	75.692	70.979	81.06	118.916	73.266	105.239
AT1G78560	209.999	200.295	195.661	168.205	235.522	215.322	222.213	221.972	191.711	179.449	224.055	234.002	120.898	154.672	98.542
AT1G78570	594.311	548.536	427.587	608.314	577.12	582.497	672.517	580.335	508.086	704.187	810.703	922.245	1294.204	1497.875	1118.398
AT1G78580	148.235	146.807	155.18	149.425	149.224	207.611	158.723	122.129	101.617	231.327	223.2	192.708	124.862	112.612	86.104
AT1G78590	133.823	106.976	151.806	138.81	134.841	150.073	106.991	177.399	125.712	106.308	111.172	130.001	219.004	265.927	170.295
AT1G78600	368.528	300.443	412.406	301.299	296.65	366.582	563.174	615.102	673.607	469.458	483.172	407.592	1211.954	1261.797	977.761
AT1G78610	118.725	78.525	139.999	79.203	140.235	81.858	110.519	84.688	93.236	123.318	185.572	163.649	531.159	696.023	535.76
AT1G78620	507.155	499.601	442.768	483.385	460.257	384.377	600.798	491.19	491.324	384.411	423.31	546.005	557.915	607.833	623.777
AT1G78630	3480.77	4112.885	3737.802	3463.716	2754.353	2986.633	3002.812	2786.68	2850.519	2388.963	1859.143	2167.198	688.723	546.779	556.807
AT1G78640	0	0	0	0	0	0	0	0.891	0	0	0	0	0	1.357	0
AT1G78650	54.902	42.108	72.53	50.625	30.564	40.929	71.719	25.852	75.427	38.271	32.497	41.295	9.91	10.854	12.437
AT1G78660	280.685	287.925	220.962	302.932	266.086	263.369	282.175	296.854	289.138	273	258.262	231.708	194.23	141.104	147.334
AT1G78670	451.567	373.278	380.358	440.109	469.247	472.76	620.785	521.5	523.8	775.626	810.703	677.536	904.754	568.487	686.92
AT1G78680	652.644	680.549	640.959	1032.093	1091.313	1113.981	1369.724	1167.802	1097.885	1792.785	1788.164	1488.897	1278.348	770.646	884.96
AT1G78690	29.51	37.555	52.289	89.818	77.309	50.42	74.071	60.619	64.951	33.168	70.979	61.177	72.341	43.417	42.095
AT1G78700	105.686	112.666	135.782	159.223	106.075	147.7	137.56	136.392	99.522	149.682	91.503	113.942	169.455	107.185	176.035
AT1G78710	103.627	116.08	139.156	154.324	106.075	139.396	135.209	130.152	96.379	151.383	95.779	104.766	164.501	103.115	171.252
AT1G78720	0.686	0	0	0	0	1.78	0	0	0	0	3.421	0	0	1.357	0
AT1G78730	8.235	28.451	24.458	20.413	8.989	29.066	15.284	20.503	10.476	22.112	30.786	18.353	4.955	2.714	9.567
AT1G78740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78750	0.686	4.552	10.12	2.45	0	4.152	4.703	1.783	7.333	0	0	3.824	3.964	0	0
AT1G78760	0	0	0.843	0	0	2.373	0	0	0	0	0.855	0	0	0	0
AT1G78770	13.039	23.899	22.771	58.79	23.372	21.354	25.866	29.418	20.952	23.813	27.365	42.059	9.91	6.784	6.697
AT1G78780	5.49	3.414	19.397	2.45	3.596	9.491	1.176	10.697	15.714	13.607	16.248	13	28.738	55.628	35.398
AT1G78790	112.549	91.043	142.529	97.167	160.011	153.039	146.966	130.152	149.807	129.271	171.889	158.296	310.173	325.625	375.032
AT1G78800	104.313	109.252	94.457	71.855	66.522	90.163	91.707	104.3	94.284	107.159	125.71	64.236	118.916	116.682	140.637
AT1G78810	35	30.727	53.132	51.441	41.351	52.199	55.259	36.55	40.856	25.514	35.917	26	40.63	58.341	40.182
AT1G78815	3.431	2.276	5.06	18.78	3.596	10.084	4.703	13.372	11.524	11.907	10.262	16.824	8.919	2.714	8.61
AT1G78820	641.664	938.885	947.101	800.198	870.174	770.533	1018.181	814.787	775.224	1052.879	950.951	705.831	349.812	217.083	318.586
AT1G78830	9188.491	7264.124	6685.369	2999.928	2371.404	2604.035	1722.443	1642.947	1733.778	948.271	857.737	939.068	3348.48	4343.024	4729.036
AT1G78840	1.373	0	0	0	0	0	0	0	0	0	0	0	0	1.357	1.913
AT1G78850	5547.82	4455.436	3569.129	1486.083	1093.111	1289.561	1332.101	1320.241	1224.644	1107.308	1228.026	825.891	2828.222	2820.727	3138.978
AT1G78860	19.902	9.104	11.807	0	8.989	1.78	2.351	0	0	4.252	3.421	0	0	0	0
AT1G78870	389.116	383.52	396.382	383.769	381.151	395.647	398.572	374.41	384.469	378.458	371.144	360.945	555.933	512.859	596.989
AT1G78880	242.254	350.517	247.95	270.271	199.565	377.852	320.974	255.847	272.376	312.972	281.351	282.179	155.582	207.586	195.17
AT1G78882	242.254	350.517	247.95	270.271	199.565	377.852	320.974	255.847	272.376	312.972	281.351	282.179	155.582	207.586	195.17
AT1G78890	398.038	431.318	417.467	327.428	381.151	360.057	405.627	366.387	386.564	396.318	453.241	310.474	579.716	580.698	593.162
AT1G78895	154.411	152.498	131.565	113.498	102.479	122.787	135.209	90.928	90.094	86.748	101.765	84.883	196.212	238.792	231.525
AT1G78900	2150.089	2021.163	1779.504	2189.931	1952.498	1896.972	1845.895	1944.257	2091.009	2339.636	2064.384	1899.548	3882.612	5128.594	3954.098
AT1G78910	7.549	21.623	25.301	22.046	12.585	15.423	22.339	0.891	11.524	26.364	23.945	22.177	36.666	35.276	22.961
AT1G78915	173.627	227.608	254.697	268.638	224.735	237.863	277.472	236.235	243.043	249.187	260.827	201.12	158.555	126.18	79.407
AT1G78920	288.92	233.299	231.083	239.243	194.171	233.118	280.999	241.584	283.9	252.589	209.517	227.12	322.065	464.016	328.153
AT1G78922	0	0	3.373	2.45	3.596	0	1.176	1.783	0	0.85	0	0	0	2.714	7.654
