"GeneID"	"control_1"	"control_2"	"control_3"	"treatment_1"	"treatment_2"	"treatment_3"
"LOC_Os01g15270"	4578	4319	2955	33903.67	29324.5	33038
"LOC_Os01g15310"	435	520	451	562	596	540
"LOC_Os01g15600"	1264	1354	1316	1445	1619	1279
"LOC_Os01g15610"	260	194	288	176	191	122
"LOC_Os01g15640"	1128	984	961	1097	1079	885.33
"LOC_Os01g15900"	7	9	10	26	31	26
"LOC_Os01g16090"	1587	1790	1492	1877	2299	1937
"LOC_Os01g16152"	938	1092	1050	1212	1195	1059
"LOC_Os01g16170"	97	74	70	326	643	366
"LOC_Os01g16190"	1121	1306	976	1133	1196	1084
"LOC_Os01g16240"	716	697.5	593.33	475	568	399.25
"LOC_Os01g16330"	712	707	671	596.5	719	552
"LOC_Os01g16350"	419	422	347	573	653	567
"LOC_Os01g16430"	1137	1188	1037	2332	2503	2067
"LOC_Os01g16530"	1411	1550	1456	1759	1943.33	1694.17
"LOC_Os01g16540"	955	990	973	1019	1239	994
"LOC_Os01g16640"	489	538	478.5	553	653	531
"LOC_Os01g16890"	1003	1125	1034	1657	1835	1716
"LOC_Os01g16900"	943	973.5	978	890	975	838
"LOC_Os01g17150"	2704	3555	3010	2752	3251	2766
"LOC_Os01g17170"	19503	19624	16611	42508	48187	48766
"LOC_Os01g17180"	790.5	716	687	942	1017	875
"LOC_Os01g17190"	1126	1142	1005	867	889	738
"LOC_Os01g17240"	10091	11803	8722	10315	9777.5	9870
"LOC_Os01g17390"	2268	2107	1985	2334.67	3154	2196
"LOC_Os01g17430"	1383	1507	1285	1654	1709	1491
"LOC_Os01g18050"	518	402	438	612	451	484
"LOC_Os01g18070"	981	1004	864	1154	1359	1119
"LOC_Os01g18080"	725	895	750	1242	1610.5	1348
"LOC_Os01g18220"	100	115	132	541	527	612
"LOC_Os01g18630"	9954	10657	9607	8309.5	9658	7636
"LOC_Os01g18670"	510.5	446	400	235	223	231
"LOC_Os01g18800"	4734	4738	3228	6909	8775	8624
"LOC_Os01g19020"	1404	981	1207	569	483	735
"LOC_Os01g19130"	679	835	653	960	943	913
"LOC_Os01g19450"	1057	1007	1040	1212	1269	1085
"LOC_Os01g19470"	1264	1122	1080	1396	1301	1057
"LOC_Os01g19740"	187013.5	226824.83	156055.58	156127.29	152791.5	157763.5
"LOC_Os01g19840"	776	876	887	1604	1763	1721
"LOC_Os01g19940"	427.5	366	432.75	313	322	354
"LOC_Os01g20206"	89	89	96	88	79	141
"LOC_Os01g20830"	2715	3769	2605	964	1329	1008
"LOC_Os01g20840"	691	689	549	823	922	773
"LOC_Os01g21160"	704	777	626	770	800	751
"LOC_Os01g21250"	577	432	417	2827	2301	2424
"LOC_Os01g21320"	1245	1428	1404	1811	2093	1815
"LOC_Os01g21410"	518	564	436	792	852	719
"LOC_Os01g21440"	1191	1244	1041	1246	1448	1167
"LOC_Os01g21820"	4524.5	4569.5	4437	4185	4409	3807
"LOC_Os01g22010"	1752	1714	1610	5500	5857	4167
"LOC_Os01g22370"	228	299	326	1620	1304	1277
"LOC_Os01g22490"	2274.1	3031	2423	4203	4428	4738
"LOC_Os01g22510"	790	811	661	765	871	796
"LOC_Os01g22520"	3556	4047	4417	2587	3224	3059.5
"LOC_Os01g22600"	256	254	242	558	663	521
"LOC_Os01g22900"	4970	7733	5932	4621	5431	5345
"LOC_Os01g22990"	2391	2681	2579	2479	3211	2488
"LOC_Os01g23620"	1051	1103.5	1004	1030.5	1111	903
"LOC_Os01g24070"	722	620	571	451	591	478
